Genus,N_Test_Rows,Clockwise_Order,Display_Variable,Model_Feature,Category,SHAP_P05,SHAP_P95,Absolute_P05_Plus_P95,Robust_SHAP_Range_P05_P95,Mean_Absolute_SHAP,High_minus_Low_SHAP_for_Display_Variable,Feature_SHAP_Spearman_for_Display_Variable,Decile_Monotonicity_Score,Previous_Association_Class,Association_Class,Classification_Changed_After_Audit,Classification_Reason,Plot_Color,Feature_Share_of_Genus_Absolute_SHAP_Impact
Tilia,1540,8,LST,avg_LST,Atmosphere,-0.0921658772975206,0.0437269331887364,0.135892810486257,0.135892810486257,0.0302861040018726,-0.0175830209680642,-0.2213928166294069,0.5097620866775626,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.10207957180479527
Tilia,1540,9,Radiation,avg_radiation,Atmosphere,-0.098994518443942,0.1039603549987077,0.2029548734426497,0.2029548734426498,0.0509822732241835,-0.1543669446713182,-0.8948449452359899,0.924306721884322,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.1524550600034671
Tilia,1540,10,Noise,avg_noise_day,Atmosphere,-0.1535620801150798,0.0612854450941085,0.2148475252091883,0.2148475252091884,0.0528401081506861,-0.1304535470243278,-0.916705929080235,1.0,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.16138854806370978
Tilia,1540,11,Illumination,lightemiss,Atmosphere,-0.0601653408259153,0.0271021835505962,0.0872675243765115,0.0872675243765115,0.0196988293587286,-0.0094810148697276,-0.1267096916530405,0.6285402858661591,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.06555336878340393
Ulmus,503,1,View factor,avg_svf,Structure,-0.0358573284000158,0.0571057084947824,0.0929630368947982,0.0929630368947982,0.0226839313363742,-0.0197232836987616,-0.320541308846872,0.5698489827781352,Nonlinear association,Nonlinear association,False,Material decile reversal: monotonicity < 0.65,#B9BEC5,0.08539918188419127
Ulmus,503,2,Diversity,Mono_Rate,Structure,-0.0695221006870269,0.0438808508217334,0.1134029515087603,0.1134029515087604,0.0286011169349511,0.0626595158277688,0.6684538401941731,0.7482092111672214,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.1041760209819764
Ulmus,503,3,Density,Density25,Structure,-0.117766086757183,0.0788581103086471,0.19662419706583012,0.1966241970658302,0.0607341928028852,0.1469957336777461,0.9221095653659014,1.0,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.1806260437367174
Ulmus,503,4,Park condition,type_Puisto,Structure,-0.0136464778333902,0.0221364783123135,0.0357829561457037,0.0357829561457037,0.0091439097781165,0.0108446467399885,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#1F7A4D,0.03287150766921622
Ulmus,503,5,Moraine,soil_moraine,Soil,0.0018058951594866,0.007792724110186,0.0095986192696726,0.0059868289506994,0.0048931675229027,-0.0489718467468558,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.008817636129674901
Ulmus,503,6,Infill,soil_infill,Soil,-0.0240728922188282,0.0319173045456409,0.055990196764469105,0.0559901967644691,0.0190180708217609,0.0386020311087881,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#D84A36,0.051434604084971615
Ulmus,503,7,Bedrock,soil_bedrock,Soil,-0.0459194023162126,0.0534534182399511,0.0993728205561637,0.0993728205561637,0.0344682458341936,-0.0687575441050065,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.09128743918536705
Ulmus,503,8,LST,avg_LST,Atmosphere,-0.0867578223347664,0.0448296938091516,0.131587516143918,0.131587516143918,0.0308907196025174,-0.0023235390481348,-0.0061136373815935,0.538678387445965,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.1208810146508048
Ulmus,503,9,Radiation,avg_radiation,Atmosphere,-0.1021640323102474,0.0670944623649119,0.1692584946751593,0.1692584946751593,0.0402249307529635,-0.1078191842174246,-0.8570813175473208,0.9237450087629367,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.1554869274394064
Ulmus,503,10,Noise,avg_noise_day,Atmosphere,-0.0509225316345691,0.049469444528222,0.10039197616279111,0.1003919761627912,0.0244966028142555,-0.0569725388506701,-0.8275182302233555,0.874574690222895,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.09222367210036057
Ulmus,503,11,Illumination,lightemiss,Atmosphere,-0.0530914824455976,0.0305063316598534,0.083597814105451,0.083597814105451,0.0219534999702898,-0.0058154088131002,-0.0242794774472027,0.5169431856487097,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.07679595213731337
